"name","url","calendar_url","email","contact","type_group","Categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"14th Ave NW VisioNing Project","http://www.14avenw.org/",,,,"Website","Road development",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"At Large in Ballard","http://Blog.seattlepi.com/ballard/",,,,"Blog","News, Human interest",,,,,,"Commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Avenue","http://www.ballardavenue.Blogspot.com/",,,,"Blog","Personal Blog, Hyperlocal",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Blog","http://ballardBlog.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Chamber of Commerce","http://www.ballardchamber.com/",,,,"Website","Chamber of Commerce",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard District Council","http://www.ballarddistrictcouncil.org/",,,,"Website","District council",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Gossip Girl","http://www.ballardgossipgirl.com/",,,,"Blog","Restaurants, Nightlife, Shopping",,,,,,"Commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Historical Society","http://www.ballardhistory.org/",,,,"Website","Historical society",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Moms","http://groups.yahoo.com/group/BallardMoms/",,,,"E-mail list","Parents, Parenting, Parent group",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Neighbor Connection","http://groups.yahoo.com/group/BallardNeighborConnection/",,,,"E-mail list","Neighborhood residents",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"ballardite Blog","http://www.ballardite.Blogspot.com/",,,,"Blog","News, Personal",,,,,,"Personal",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Central Ballard Community Council","http://www.neighborhoodlink.com/seattle/cbcc/",,,,"Website","Community council",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Crown Hill Neighbors","http://www.crownhillneighbors.org",,,,"Website","Neighborhood issues, neighborhood planNing, News",,,,,,"Community",,,,"Crown Hill","Ballard","NW",,"Seattle","WA",,,,,
"East Ballard Community Association Blog","http://eastballard.wordpress.com/",,,,"Blog","Community association, News, Events, meeting",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"InBallard","http://inballard.com/",,,,"Website","Food, nightlife, Shopping, services",,,,,,"Commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"MyBallard","http://www.myballard.com/",,,,"Blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"Commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Shilshole Blog","http://shilsholeCommunity.org/",,,,"Blog","News, weather, Events, Criminal activity, Crime, Public Safety",,,,,,"Commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Sustainable Ballard","http://sustainableballard.org/Wiki/index.php?title=Welcome_to_Sustainable_Ballard!",,,,"Wiki","Community group",,,,,,"Community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Sustainable Crown Hill","http://sustainablecrownhill.org/wp/",,,,"Website","Community group, Mailing list",,,,,,"Community",,,,"Crown Hill","Ballard","NW",,"Seattle","WA",,,,,
"Walkable Crown Hill","http://walkablecrownhill.org/",,,,"Website","Neighborhood group",,,,,,"Community",,,,"Crown Hill","Ballard","NW",,"Seattle","WA",,,,,
"Central Area Community Festival Association","http://www.cacf.com/",,,,"Website","Festival planNing association",,,,,,"Community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Central District News","http://www.centraldistrictNews.com/",,,,"Blog","News, Events, Food, Drink, Reviews",,,,,,"Commercial",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Friends of Frink Park","http://www.frinkpark.org/",,,,"Website","Park issues",,,,,,"Community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Leschi Community Council","http://groups.google.com/group/LeschiCC?hl=en",,,,"E-mail list","PlanNing, meeting times",,,,,,"Community",,,,"Leschi","Central","E",,"Seattle","WA",,,,,
"Madrona Moms","http://health.groups.yahoo.com/group/MadronaMoms/",,,,"E-mail list","Community group, moms",,,,,,"Community",,,,"Madrona","Central","E",,"Seattle","WA",,,,,
"Madrona Neighborhood","http://madrona.wetpaint.com/",,,,"Wiki","Neighborhood Community site, buying, selling, restaurants, favorite places, Community association, meeting minutes",,,,,,"Community",,,,"Madrona","Central","E",,"Seattle","WA",,,,,
"Squire Park Community Council","http://groups.yahoo.com/group/squirepark/",,,,"E-mail list","Community group",,,,,,"Community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Squire Park Community Council","http://www.squirepark.org/",,,,"Blog","Community group",,,,,,"Community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Community Harvest of Southwest Seattle","http://gleanit.org",,,,"Website","Sustainable Food",,,,,,"Community",,,,"West Seattle","Delridge","SW",,"Seattle","WA",,,,,
"Delridge Grassroots Leadership","http://delridge.Blogspot.com/",,,,"Website","Community organization",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Delridge Neighborhoods Development Association","http://www.dnda.org/",,,,"Website","Neighborhood association",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Delridge Produce Cooperative","http://sites.google.com/site/delridgeproducecooperative/",,,,"Website","Produce coop",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Highland Park Action Committee","http://www.highlandpk.net/",,,,"Website","Community group",,,,,,"Community",,,,"Highland Park","Delridge","SW",,"Seattle","WA",,,,,
"Highland Park Improvement Club","http://www.hpic1919.org/",,,,"Blog","Neighborhood group",,,,,,"Community",,,,"Highland Park","Delridge","SW",,"Seattle","WA",,,,,
"Longfellow Creek Community Website","http://www.longfellowcreek.org/",,,,"Website","Watershed info",,,,,,"Community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
