"name";"url";"neighborhood";"district";"categories";"ownership";"type_group";"region";"city";"state";"location";"location_geo";"latitude";"longitude";"address";"area_code";"activity_level";"audience_size";"image";"description";"contact";"email";"source";"calendar_url"
"14th Ave NW Visioning Project";"http://www.14avenw.org/";"Ballard";"Ballard";"road development";"community";"website";"NW";"Seattle";"WA";"This is a long description of location field.";"(55.0001,-122.0001)";55.000001;-122.00001;"This is an address field.";510;"Multiple Daily";"1000-10000";"http://example.com/image.jpg";"This is a description field.";"Contact Name First Last";"email@example.com";"City of Seattle";"http://example.com/calendar_url"
"At Large in Ballard";"http://blog.seattlepi.com/ballard/";"Ballard";"Ballard";"news, human interest";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Avenue";"http://www.ballardavenue.blogspot.com/";"Ballard";"Ballard";"personal ballard-centric blog";"community";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Blog";"http://ballardblog.com/";"Ballard";"Ballard";"news, events, human interest, criminal activity, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Chamber of Commerce";"http://www.ballardchamber.com/";"Ballard";"Ballard";"chamber of commerce";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard District Council";"http://www.ballarddistrictcouncil.org/";"Ballard";"Ballard";"district council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Gossip Girl";"http://www.ballardgossipgirl.com/";"Ballard";"Ballard";"restaurants, nightlife, shopping";"commercial";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Historical Society";"http://www.ballardhistory.org/";"Ballard";"Ballard";"historical society";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Moms";"http://groups.yahoo.com/group/BallardMoms/";"Ballard";"Ballard";"Ballard parents";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Ballard Neighbor Connection";"http://groups.yahoo.com/group/BallardNeighborConnection/";"Ballard";"Ballard";"neighborhood residents";"community";"email list";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"ballardite blog";"http://www.ballardite.blogspot.com/";"Ballard";"Ballard";"news, personal";"personal";"blog";"NW";"Seattle";"WA";;;;;;;;;;;;;;
"Central Ballard Community Council";"http://www.neighborhoodlink.com/seattle/cbcc/";"Ballard";"Ballard";"community council";"community";"website";"NW";"Seattle";"WA";;;;;;;;;;;;;;
