name,url,calendar_url,email,contact,type_group,categories,description,notes,source,activity_level,audience_size,ownership,image,location,address,neighborhood,district,region,city,state,area_code,latitude,longitude,location_geo
14th Ave NW Visioning Project,http://www.14avenw.org/,http://www.example2.com/calendar,email@example.com,Contact Name,website,road development,This is description,This is notes,This is source,Multiple Daily,"1,000-10,000",community,http://example.com/image.jpg,This is location,This is address,Ballard,Ballard,NW,Seattle,WA,510,55,-122,(55 -122)
At Large in Ballard,http://blog.seattlepi.com/ballard/,,,,blog,"news, human interest",,,,,,commercial,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Avenue,http://www.ballardavenue.blogspot.com/,,,,blog,personal ballard-centric blog,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Blog,http://ballardblog.com/,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Chamber of Commerce,http://www.ballardchamber.com/,,,,website,chamber of commerce,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Ballard District Council,http://www.ballarddistrictcouncil.org/,,,,website,district council,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Gossip Girl,http://www.ballardgossipgirl.com/,,,,blog,"restaurants, nightlife, shopping",,,,,,commercial,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Historical Society,http://www.ballardhistory.org/,,,,website,historical society,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Moms,http://groups.yahoo.com/group/BallardMoms/,,,,email list,Ballard parents,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Ballard Neighbor Connection,http://groups.yahoo.com/group/BallardNeighborConnection/,,,,email list,neighborhood residents,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
ballardite blog,http://www.ballardite.blogspot.com/,,,,blog,"news, personal",,,,,,personal,,,,Ballard,Ballard,NW,Seattle,WA
Central Ballard Community Council,http://www.neighborhoodlink.com/seattle/cbcc/,,,,website,community council,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Crown Hill Neighbors,http://www.crownhillneighbors.org,,,,website,"neighborhood-issues, neighborhood-planning, news",,,,,,community,,,,Crown Hill,Ballard,NW,Seattle,WA
East Ballard Community Association Blog,http://eastballard.wordpress.com/,,,,blog,"community association, news, events, meeting",,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
InBallard,http://inballard.com/,,,,website,"food, nightlife, shopping, services",,,,,,commercial,,,,Ballard,Ballard,NW,Seattle,WA
MyBallard,http://www.myballard.com/,,,,blog,"news, events, human interest, criminal activity, shopping",,,,,,commercial,,,,Ballard,Ballard,NW,Seattle,WA
Shilshole Blog,http://shilsholecommunity.org/,,,,blog,"news, weather, events, criminal activity",,,,,,commercial,,,,Ballard,Ballard,NW,Seattle,WA
Sustainable Ballard,http://sustainableballard.org/wiki/index.php?title=Welcome_to_Sustainable_Ballard!,,,,wiki,community group,,,,,,community,,,,Ballard,Ballard,NW,Seattle,WA
Sustainable Crown Hill,http://sustainablecrownhill.org/wp/,,,,website,"community group, has mailing list",,,,,,community,,,,Crown Hill,Ballard,NW,Seattle,WA
Walkable Crown Hill,http://walkablecrownhill.org/,,,,website,neighborhood group,,,,,,community,,,,Crown Hill,Ballard,NW,Seattle,WA
Central Area Community Festival Association,http://www.cacf.com/,,,,website,festival planning association,,,,,,community,,,,Central District,Central,E,Seattle,WA
Central District News,http://www.centraldistrictnews.com/,,,,blog,"news, events, food, drink, reviews",,,,,,commercial,,,,Central District,Central,E,Seattle,WA
Friends of Frink Park,http://www.frinkpark.org/,,,,website,park issues,,,,,,community,,,,Central District,Central,E,Seattle,WA
Leschi Community Council,http://groups.google.com/group/LeschiCC?hl=en,,,,email list,"planning, meeting times",,,,,,community,,,,Leschi,Central,E,Seattle,WA
Madrona Moms,http://health.groups.yahoo.com/group/MadronaMoms/,,,,email list,community group (moms),,,,,,community,,,,Madrona,Central,E,Seattle,WA
Madrona Neighborhood,http://madrona.wetpaint.com/,,,,wiki,"neighborhood community site: buying/selling, restaurants, favorite places, etc.  Also community association meeting minutes",,,,,,community,,,,Madrona,Central,E,Seattle,WA
Squire Park Community Council,http://groups.yahoo.com/group/squirepark/,,,,email list,community group,,,,,,community,,,,Central District,Central,E,Seattle,WA
Squire Park Community Council,http://www.squirepark.org/,,,,blog,community group,,,,,,community,,,,Central District,Central,E,Seattle,WA
Community Harvest of Southwest Seattle,http://gleanit.org,,,,website,sustainable food,,,,,,community,,,,West Seattle,Delridge,SW,Seattle,WA
Delridge Grassroots Leadership,http://delridge.blogspot.com/,,,,website,community organization,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
Delridge Neighborhoods Development Association,http://www.dnda.org/,,,,website,neighborhood association,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
Delridge Produce Cooperative,http://sites.google.com/site/delridgeproducecooperative/,,,,website,produce coop,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
Highland Park Action Committee,http://www.highlandpk.net/,,,,website,community group,,,,,,community,,,,Highland Park,Delridge,SW,Seattle,WA
Highland Park Improvement Club,http://www.hpic1919.org/,,,,blog,neighborhood group,,,,,,community,,,,Highland Park,Delridge,SW,Seattle,WA
Longfellow Creek Community Website,http://www.longfellowcreek.org/,,,,website,watershed info,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
Nature Consortium,http://www.naturec.org,,,,website,environmental conservation,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
North Delridge Neighborhood Council,http://ndnc.org/,,,,website,events calendar,,,,,,community,,,,Delridge,Delridge,SW,Seattle,WA
Pigeon Point Neighborhood Council,http://www.pigeonpoint.org/,,,,website,neighborhood council,,,,,,community,,,,Pigeon Point,Delridge,SW,Seattle,WA
Westwood Neighborhood Council,http://www.scn.org/neighbors/westwood/,,,,website,neighborhood council,,,,,,community,,,,Westwood,Delridge,SW,Seattle,WA
