"name","url","calendar_url","email","contact","type_group","Categories","description","notes","source","activity_level","audience_size","ownership","image","location","address","neighborhood","district","region","zipcode","city","state","area_code","latitude","longitude","location_geo","civic_taxonomy"
"14th Ave NW Visioning Project","http://www.14avenw.org/",,,,"website","Road development",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"At Large in Ballard","http://blog.seattlepi.com/ballard/",,,,"blog","News, Human interest",,,,,,"commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Avenue","http://www.ballardavenue.blogspot.com/",,,,"blog","Personal blog, Hyperlocal",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Blog","http://ballardblog.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Chamber of Commerce","http://www.ballardchamber.com/",,,,"website","Chamber of Commerce",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard District Council","http://www.ballarddistrictcouncil.org/",,,,"website","District council",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Gossip Girl","http://www.ballardgossipgirl.com/",,,,"blog","Restaurants, Nightlife, Shopping",,,,,,"commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Historical Society","http://www.ballardhistory.org/",,,,"website","Historical society",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Moms","http://groups.yahoo.com/group/BallardMoms/",,,,"email list","Parents, Parenting, Parent group",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Ballard Neighbor Connection","http://groups.yahoo.com/group/BallardNeighborConnection/",,,,"email list","Neighborhood residents",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"ballardite blog","http://www.ballardite.blogspot.com/",,,,"blog","News, Personal",,,,,,"personal",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Central Ballard Community Council","http://www.neighborhoodlink.com/seattle/cbcc/",,,,"website","Community council",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Crown Hill Neighbors","http://www.crownhillneighbors.org",,,,"website","Neighborhood issues, neighborhood planning, News",,,,,,"community",,,,"Crown Hill","Ballard","NW",,"Seattle","WA",,,,,
"East Ballard Community Association Blog","http://eastballard.wordpress.com/",,,,"blog","Community association, News, Events, meeting",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"InBallard","http://inballard.com/",,,,"website","Food, nightlife, Shopping, services",,,,,,"commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"MyBallard","http://www.myballard.com/",,,,"blog","News, Events, Human interest, Criminal activity, Crime, Public Safety, Shopping",,,,,,"commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Shilshole Blog","http://shilsholecommunity.org/",,,,"blog","News, weather, Events, Criminal activity, Crime, Public Safety",,,,,,"commercial",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Sustainable Ballard","http://sustainableballard.org/wiki/index.php?title=Welcome_to_Sustainable_Ballard!",,,,"wiki","Community group",,,,,,"community",,,,"Ballard","Ballard","NW",,"Seattle","WA",,,,,
"Sustainable Crown Hill","http://sustainablecrownhill.org/wp/",,,,"website","Community group, Mailing list",,,,,,"community",,,,"Crown Hill","Ballard","NW",,"Seattle","WA",,,,,
"Walkable Crown Hill","http://walkablecrownhill.org/",,,,"website","Neighborhood group",,,,,,"community",,,,"Crown Hill","Ballard","NW",,"Seattle","WA",,,,,
"Central Area Community Festival Association","http://www.cacf.com/",,,,"website","Festival planning association",,,,,,"community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Central District News","http://www.centraldistrictNews.com/",,,,"blog","News, Events, Food, Drink, Reviews",,,,,,"commercial",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Friends of Frink Park","http://www.frinkpark.org/",,,,"website","Park issues",,,,,,"community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Leschi Community Council","http://groups.google.com/group/LeschiCC?hl=en",,,,"email list","Planning, meeting times",,,,,,"community",,,,"Leschi","Central","E",,"Seattle","WA",,,,,
"Madrona Moms","http://health.groups.yahoo.com/group/MadronaMoms/",,,,"email list","Community group, moms",,,,,,"community",,,,"Madrona","Central","E",,"Seattle","WA",,,,,
"Madrona Neighborhood","http://madrona.wetpaint.com/",,,,"wiki","Neighborhood community site, buying, selling, restaurants, favorite places, community association, meeting minutes",,,,,,"community",,,,"Madrona","Central","E",,"Seattle","WA",,,,,
"Squire Park Community Council","http://groups.yahoo.com/group/squirepark/",,,,"email list","Community group",,,,,,"community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Squire Park Community Council","http://www.squirepark.org/",,,,"blog","Community group",,,,,,"community",,,,"Central District","Central","E",,"Seattle","WA",,,,,
"Community Harvest of Southwest Seattle","http://gleanit.org",,,,"website","Sustainable Food",,,,,,"community",,,,"West Seattle","Delridge","SW",,"Seattle","WA",,,,,
"Delridge Grassroots Leadership","http://delridge.blogspot.com/",,,,"website","Community organization",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Delridge Neighborhoods Development Association","http://www.dnda.org/",,,,"website","Neighborhood association",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Delridge Produce Cooperative","http://sites.google.com/site/delridgeproducecooperative/",,,,"website","Produce coop",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Highland Park Action Committee","http://www.highlandpk.net/",,,,"website","Community group",,,,,,"community",,,,"Highland Park","Delridge","SW",,"Seattle","WA",,,,,
"Highland Park Improvement Club","http://www.hpic1919.org/",,,,"blog","Neighborhood group",,,,,,"community",,,,"Highland Park","Delridge","SW",,"Seattle","WA",,,,,
"Longfellow Creek Community Website","http://www.longfellowcreek.org/",,,,"website","Watershed info",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"Nature Consortium","http://www.naturec.org",,,,"website","Environmental conservation",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
"North Delridge Neighborhood Council","http://ndnc.org/",,,,"website","Events calendar",,,,,,"community",,,,"Delridge","Delridge","SW",,"Seattle","WA",,,,,
