"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"12th Avenue Neighborhood and Business District","http://capitolhillhousing.org/12thave/","Develop community and improve business along 12th Avenue","wmzosel@aol.com",,"Bill Zosel","Business","Neighborhood","East","Capitol Hill","Advocacy","Community group",,0,,98122,"DPR"
"12th Avenue Neighborhood Plan Stewardship Committee","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement","wmzosel@aol.com","206-329-3986","Bill Zosel","Community council","Planning","East","Capitol Hill","Service provider","Community group",,0,,98122,"DPR"
"14th & Main Neighborhood Association",,"Address community issues ","jcandi3@aol.com","206-324-6592",,"Community council","Neighborhood","Central",,"Advocacy","Community group",,0,"1451 S Main St",98144,"DON"
"15th Ave NW Association","http://www.15thavenw.org/","Clean up 15th Ave NW to make it safer for pedestrians and to bring in new businesses","melkang@msn.com","206-782-6789","Mel Kang","Community council","Neighborhood","Ballard","Whittier Heights","Service provider","Community group",,0,"7309 17th Ave NW",98117,"DON"
"23rd and Jackson Planning Area","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement","georgests@cada.org","206-328-2240","George Staggers","Community council","Planning","Central",,"Service provider","Community group",,0,,98122,"DPR"
"Active Older Adults - YMCA","http://www.seattleymca.org/page.cfm?ID=dtPrograms","Provides group and water exercise classes for older adults",,"206-382-5000 ",,"Social justice","Seniors; Health","Citywide",,"Service provider","Nonprofit",,"National","909 4th Ave",98104,"DPR"
"Admiral District Business Group",,"Support local business and community","mamazatz@hotmail.com","206-755-7228","Nancy Geddes","Business","Neighborhood","Southwest","Admiral","Advocacy","Community group",,0,"2348 California Ave SW",98116,"DPR"
"Admiral Neighborhood Association","http://zicadadesigns.com/ana/index.html","Foster community through events and discussion","jimdelciello@yahoo.com","206-932-5774","Jim Del Ciello","Community council","Neighborhood","Southwest","Admiral","Advocacy","Community group",,0,"4607 SW Hill St",98116,"DON"
"African Business Association of Seattle",,"Support local African business in the Seattle area","universal2abdul@yahoo.com",,"Abdul Yusuf","Business","RSJ","Southeast","Rainier Beach","Advocacy","Community group","African",,"3815 S Othello St #105",98118,"DON"
"African Communities Network","http://www.acnwa.org/","Advance the civil rights and socio-economic welfare of African communities","info@acnwa.org  ","206-781-3383","Ahoua Kone","RSJ","Social justice","Citywide",,"Advocacy","Nonprofit","African",0,"1111 E Madison, Suite 424",98122,"DON"
